"Edit","Matching Tag","⇧⌘>","Editing in Structured Text Editors"
"Edit","Next Sibling","⌃⇧↓","Editing in Structured Text Editors"
"Edit","Restore Last Selection","⌃⇧↓","Editing JavaScript Source"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing JavaScript Source"
"Server","Stop","⌥⌘S","In Servers View"
"Source","Correct Indentation","⌘I","Editing Java Source"
"Views","Show View ()","⌥⌘Q D","In Windows"
"Run/Debug","Skip All Breakpoints","⌥⌘B","In Windows"
"Terminal view commands","Copy","⇧⌘C","Terminal Control in Focus"
"Terminal view commands","Terminal view insert","⌥E","Terminal Typing Connected"
"Text Editing","Move Lines Down","⌥↓","Editing Text"
"Edit","Select Previous Element","⌃⇧←","Editing JavaScript Source"
"Run/Debug","Run JUnit Test","⌥⌘X T","In Windows"
"Edit","Word Completion","⌃.","Editing Text"
"Edit","Remove Block Comment","⇧⌘\","Editing in Structured Text Editors"
"Run/Debug","Debug OSGi Framework","⌃⌥⌘D O","In Windows"
"Run/Debug","Coverage Java Application","⌥⇧E J","In Windows"
"Edit","Find Next","⌘K","Editing Text"
"Run/Debug","Run","⇧⌘F11","In Windows"
"Window","Previous Editor","⇧⌘F6","In Windows"
"Edit","Undo","⌘Z","In Dialogs and Windows"
"Text Editing","Text Start","⌘↖","Editing Text"
"SQL Results View","Terminate Result","⌘Break","In Windows"
"Web Page Editor Layout","Horizontal Layout","⇧⌘F10","Using Web Page Editor"
"Source","Remove Block Comment","⌃⌘\","Editing Java Source"
"Run/Debug","Debug Java Applet","⌃⌥⌘D A","In Windows"
"Navigate","Matching Character","⇧⌘P","Editing in Structured Text Editors"
"Edit","Previous Sibling","⇧⌘↑","Editing in Structured Text Editors"
"Text Editing","Delete Line","⌘D","Editing Text"
"SQL Results View","Remove Result","⌘⌦","In Windows"
"Terminal view commands","Terminal view insert","⌥H","Terminal Typing Connected"
"Text Editing","Expand All","⌘Numpad_Multiply","Editing Text"
"Edit","Select Next Element","⌃⇧→","Editing in Structured Text Editors"
"Run/Debug","Coverage JUnit Test","⌥⇧E T","In Windows"
"Terminal view commands","Terminal view insert","⌥N","Terminal Typing Connected"
"Edit","Add Block Comment","⌘/","Editing in Structured Text Editors"
"Run/Debug","Run Gradle Test","⌥⌘X G","In Windows"
"Views","Show View (Search)","⌥⌘Q S","In Windows"
"Views","Show View (Breakpoints)","⌥⌘Q B","In Windows"
"Text Editing","Collapse All","⇧⌘Numpad_Divide","Editing Text"
"Text Editing","Show Tooltip Description","F2","Editing Text"
"Run/Debug","Run to Line","⌘R","Debugging"
"Run/Debug","Toggle Memory Monitors Pane","⌘T","In Memory View"
"Window","Show System Menu","⇧⌘F10","In Windows"
"Window","Previous View","⇧⌘F7","In Windows"
"Navigate","Open Declaration","F3","JavaScript View"
"File","Refresh","F5","In Windows"
"Run/Debug","Step Into Selection","⌥F5","Debugging"
"Git","Copy Path to Clipboard","⌘C","In Git Repositories View"
"Navigate","Open Type","⇧⌘T","Editing JavaScript Source"
"Run/Debug","Debug on Server","⌥⇧D R","In Windows"
"Navigate","Open Resource","⇧⌘R","In Windows"
"Source","Annotate Class File","⌘1","Browsing attached Java Source"
"Edit","Add Maven Plugin","⌃⇧P","Editing XML Source"
"Task Repositories","Show Tooltip Description","F4","In Tasks View"
"Source","Toggle Comment","⇧⌘C","Editing Java Source"
"Text Editing","Select Text End","⇧↘","Editing Text"
"Task Repositories","Mark Task Complete","⌥⇧C","In Tasks Editor"
"Web Page Editor Layout","Vertical Layout","⇧⌘F9","Using Web Page Editor"
"Navigate","Previous","⇧⌘.","In Windows"
"File","New menu","⌥⌘N","In Windows"
"Run/Debug","Debug XSLT Transformation","⌥⌘D X","In Windows"
"Text Editing","Insert Line Below Current Line","⇧↩","Editing Text"
"Terminal view commands","Terminal view insert","⌥A","Terminal Typing Connected"
"Run/Debug","Coverage TestNG Suite","⌥⇧E G","In Windows"
"Edit","Add Im&port","⇧⌘M","Editing JSP Source"
"Window","Show Ruler Context Menu","⌘F10","Editing Text"
"Task Editor","Submit Task","⌥⇧S","In Tasks Editor"
"Text Editing","Line End","⌘→","Editing Text"
"Text Editing","Select Text Start","⇧↖","Editing Text"
"Source","Add Javadoc Comment","⌥⌘J","In Windows"
"Task Repositories","Open Selected Task","⌘↩","In Tasks View"
"Navigate","Open from Clipboard","⇧⌘V","In Windows"
"Run/Debug","Coverage JUnit Plug-in Test","⌥⇧E P","In Windows"
"Terminal view commands","Terminal view insert","⌥Y","Terminal Typing Connected"
"Task Repositories","New Subtask","⇧Insert","In Tasks View"
"Text Editing","Next Word","⌥→","Editing Text"
"Refactor - Java","Move - Refactoring ","⌥⌘V","In Windows"
"Navigate","Open Attached Javadoc","⇧F2","In Windows"
"Edit","Select Enclosing Element","⌥⇧↑","Editing in Structured Text Editors"
"Navigate","Open Call Hierarchy","⌃⌥H","In Windows"
"Edit","Find and Replace","⌘F","In Windows"
"Source","Toggle Ant Mark Occurrences","⌥⌘O","Editing Ant Buildfiles"
"Run/Debug","Close Rendering","⌘W","In Memory View"
"Terminal view commands","Terminal view insert","⌥F","Terminal Typing Connected"
"Uncategorized","Add Artifact to Target Platform","⌥⇧⌘A","In Windows"
"Navigate","Quick Outline","⇧⌘O","Task Markup Editor Source Context"
"Source","Surround With Quick Menu","⌥⌘Z","JavaScript View"
"Navigate","Next Page","⌥F7","In Windows"
"Edit","Remove Block Comment","⌘\","Editing in Structured Text Editors"
"Views","Show View (Cheat Sheets)","⌥⌘Q H","In Windows"
"Window","Next View","⌘F7","In Windows"
"Task Repositories","Mark Task Unread","⌥⇧U","In Tasks Editor"
"Run/Debug","Use Step Filters","⇧F5","In Windows"
"Views","Show View (Type Hierarchy)","⌥⌘Q T","In Windows"
"Source","Remove Occurrence Annotations","⌥⌘U","Editing Java Source"
"Views","Show View (Package Explorer)","⌥⌘Q P","In Windows"
"Edit","Toggle Comment","⇧⌘C","Editing in Structured Text Editors"
"Edit","Select Next Element","⌃⇧→","Editing JavaScript Source"
"Window","Switch to Editor","⇧⌘E","In Windows"
"Terminal view commands","Terminal view insert","⌥T","Terminal Typing Connected"
"Views","Refresh View (Gradle Tasks)","F5","In Gradle Tasks View"
"Database Tools","Execute All","⌥⌘X","Editing SQL"
"File","Properties","⌘I","In Windows"
"Task Repositories","Mark Task Incomplete","⌥⇧I","In Tasks View"
